Time,Concentration,Temperature,Pressure
11:15:39,105.3,29.7,1032.3
11:15:49,95.2,29.7,1032.4
11:15:59,71.8,29.7,1032.3
11:16:09,84,29.7,1032.2
11:16:19,95.2,29.7,1032.2
11:16:29,86.9,29.7,1032.3
11:16:39,87.5,29.7,1032.3
11:16:49,86.3,29.7,1032.4
11:16:59,79.8,29.7,1032.3
11:17:09,84.5,29.7,1032.3
11:17:19,91.7,29.7,1032.3
11:17:29,95.2,29.7,1032.4
11:17:39,95,29.7,1032.3
11:17:49,84,29.7,1032.6
11:17:59,77,29.7,1032.3
11:18:09,96,29.7,1032.2
11:18:19,100,29.7,1032.2
11:18:29,90.6,29.7,1032.6
11:18:39,92,29.7,1032.4
11:18:49,94.6,29.7,1032.6
11:18:59,99.8,29.7,1032.4
11:19:09,108.2,29.7,1032.2
11:19:19,108.8,29.7,998.3
11:19:29,119.3,29.7,997.1
11:19:39,120.8,29.7,997.9
11:19:49,103.5,29.7,1017
11:19:59,122.9,29.7,1026
11:20:09,136.4,29.7,1030.3
11:20:19,134.5,29.7,1031.4
11:20:29,127.9,29.7,1032.2
11:20:39,113.1,29.7,1032.2
11:20:49,114.3,29.7,1032.4
11:20:59,115.4,29.7,1032.2
11:21:09,122.4,29.7,1032
11:21:19,123.3,29.7,1032.2
11:21:29,99.6,29.7,997.4
11:21:39,108.7,29.7,997.1
11:21:49,87.1,29.7,997.1
11:21:59,52.7,29.7,1013.7
11:22:09,109.9,29.7,1026.4
11:22:19,165.6,29.7,1028.3
11:22:29,147,29.7,1029.2
11:22:39,106.2,29.7,1029.5
11:22:49,88.8,29.7,1029.9
11:22:59,71.8,29.7,1029.8
11:23:09,62.7,29.7,1029.9
11:23:19,77.4,29.7,1029.9
11:23:29,94.7,29.7,1030.2
11:23:39,104.8,29.7,1029.9
11:23:49,90,29.7,1030.2
11:23:59,89.4,29.7,1029.9
11:24:09,104.8,29.7,1029.9
11:24:19,98.8,29.7,1030.2
11:24:29,87.2,29.7,1030.3
11:24:39,95.3,29.7,1030.3
11:24:49,100.1,29.7,1030.4
11:24:59,86.7,29.7,1030.3
11:25:09,94.8,29.7,1030.2
11:25:19,98.5,29.7,1030.2
11:25:29,99.5,29.7,1030.4
11:25:39,110.4,29.7,1030.3
11:25:49,101.3,29.7,1030.4
11:25:59,96.2,29.7,1030.3
11:26:09,107,29.7,1030.3
11:26:19,100.9,29.7,1030.3
11:26:29,94.9,29.7,1030.6
11:26:39,93.9,29.7,1030.6
11:26:49,99.4,29.7,1030.6
11:26:59,85.2,29.7,1030.4
11:27:09,71.8,29.7,1030.4
11:27:19,96.1,29.7,1030.4
11:27:29,108.5,29.7,1030.4
11:27:39,95.9,29.7,1030.4
11:27:49,92.2,29.7,1030.7
11:27:59,95.1,29.7,1030.4
11:28:09,99.2,29.7,1030.4
11:28:19,96.6,29.7,1030.6
11:28:29,92,29.7,1030.8
11:28:39,91.4,29.7,1030.8
11:28:49,94.3,29.7,1030.7
11:28:59,109.7,29.7,1030.6
11:29:09,104.2,29.7,1030.4
11:29:19,90,29.7,1030.6
11:29:29,82.5,29.7,1030.7
11:29:39,90.8,29.7,1030.6
11:29:49,93.8,29.7,1030.8
11:29:59,83.8,29.7,1030.6
11:30:09,78.3,29.7,1030.7
11:30:19,81.4,29.7,1031.1
11:30:29,91.3,29.7,1030.8
11:30:39,94.9,29.7,1030.8
11:30:49,88.6,29.7,1030.8
11:30:59,88,29.7,1030.7
11:31:09,105.5,29.7,1030.6
11:31:19,111.1,29.7,1030.6
11:31:29,99.7,29.7,1030.8
11:31:39,99.6,29.7,1030.7
11:31:49,91.8,29.7,1030.8
11:31:59,70.1,29.7,1030.7
11:32:09,89.7,29.7,1030.6
11:32:19,104.9,29.7,1030.7
11:32:29,93.9,29.7,1030.8
11:32:39,96.4,29.7,1030.7
11:32:49,105,29.7,1030.8
11:32:59,94.7,29.7,1030.7
11:33:09,88.5,29.7,1030.7
11:33:19,108.7,29.7,1030.7
11:33:29,114.2,29.7,1031
11:33:39,100.3,29.7,1030.7
11:33:49,92.3,29.7,1031
11:33:59,87,29.7,1030.7
11:34:09,98,29.7,1030.6
11:34:19,108,29.7,1030.7
11:34:29,104.4,29.7,1030.8
11:34:39,91.4,29.7,1030.7
11:34:49,79.1,29.7,1030.8
11:34:59,84.6,29.7,1030.7
11:35:09,108,29.7,1030.7
11:35:19,109.2,29.7,1030.8
11:35:29,87,29.7,1031
11:35:39,86.2,29.7,1030.8
11:35:49,89,29.7,1031.1
11:35:59,90.6,29.7,1030.8
11:36:09,96.4,29.7,1030.7
11:36:19,94.1,29.7,1030.8
11:36:29,79,29.7,1031.1
11:36:39,88.3,29.7,1030.8
11:36:49,100.9,29.7,1031.1
11:36:59,101.3,29.7,1030.7
11:37:09,97,29.7,1030.7
11:37:19,120.8,29.7,997
