wavenumber,EPDM,Neoprene,Mylar,PTFE,PVC,Polystyrene,Polyethylene,Sample: eyeglass bag,Sample: Gloves (KC500),Sample: Shopping bag
1014.856,0.8466202,0.5422907,0.3811411,0.01023884,0.08812802,0.3340468,0.02359446,0.06288751,0.09898017,0.06241461
1015.338,0.8348778,0.5411305,0.3834106,0.01026585,0.09010391,0.3352251,0.02411206,0.06335957,0.09936074,0.06306363
1015.82,0.8225468,0.5399052,0.3849089,0.01029677,0.09174606,0.3362106,0.02451799,0.06370986,0.09960045,0.06357136
1016.302,0.8097216,0.5386233,0.3854489,0.01033327,0.09302378,0.3367198,0.02481218,0.063936,0.09970535,0.06393241
1016.784,0.7965118,0.5373021,0.3848385,0.01037597,0.09391938,0.3364854,0.02499668,0.06403733,0.0996815,0.06414261
1017.266,0.7830327,0.5359613,0.38293,0.01042465,0.09442932,0.3353021,0.02507473,0.06401507,0.09953472,0.06420127
1017.748,0.7693921,0.534618,0.3796603,0.01047758,0.09456287,0.333055,0.02505194,0.06387242,0.09927054,0.06411258
1018.23,0.7556778,0.533281,0.3750693,0.01053292,0.09434094,0.3297294,0.0249362,0.06361473,0.09889418,0.06388564
1018.713,0.74195,0.5319502,0.3692884,0.01058838,0.09379295,0.3253947,0.02473718,0.06324963,0.09841109,0.06353189
1019.195,0.7282528,0.5306245,0.3625016,0.01064237,0.09295446,0.320169,0.024466,0.06278618,0.09782801,0.06306328
1019.677,0.7146137,0.5293019,0.3548862,0.01069288,0.09186295,0.3141729,0.02413315,0.06223384,0.09715099,0.06248821
1020.159,0.7010575,0.5279884,0.3465569,0.01073873,0.09055755,0.3074869,0.02374767,0.06160301,0.0963877,0.0618134
1020.641,0.6876107,0.5266962,0.3375237,0.01077911,0.08907591,0.3001208,0.02331719,0.06090366,0.09554621,0.06104409
1021.123,0.6743008,0.5254392,0.3276846,0.01081329,0.08745451,0.2920106,0.02284731,0.06014621,0.09463537,0.06018806
1021.605,0.6611548,0.5242264,0.3168587,0.01084212,0.08572851,0.2830436,0.02234344,0.05934156,0.09366643,0.05925783
1022.087,0.6481932,0.523054,0.3048531,0.0108673,0.08393117,0.2731081,0.02181046,0.0585009,0.09265174,0.05827103
1022.569,0.6354299,0.5219023,0.2915495,0.01089148,0.08209395,0.2621557,0.02125409,0.05763452,0.09160539,0.05724737
1023.052,0.6228778,0.52074,0.2769843,0.01091792,0.08024578,0.2502575,0.0206795,0.05675222,0.09054194,0.05620612
1023.534,0.6105527,0.5195287,0.2613908,0.01094906,0.07841211,0.2376321,0.02009195,0.05586151,0.08947448,0.05516152
1024.016,0.598481,0.5182342,0.2451946,0.01098569,0.07661474,0.2246385,0.01949613,0.05496838,0.08841366,0.05412153
1024.498,0.5866993,0.516831,0.2289579,0.0110265,0.07487158,0.2117333,0.01889617,0.05407775,0.08736625,0.05308925
1024.98,0.5752509,0.5153047,0.2132945,0.01106869,0.07319731,0.199405,0.01829682,0.05319496,0.08633627,0.05206586
1025.462,0.5641775,0.5136492,0.1987798,0.01110915,0.07160476,0.1881062,0.01770322,0.05232665,0.08532584,0.05105419
1025.944,0.5535081,0.5118598,0.1858764,0.01114522,0.07010493,0.1781963,0.0171217,0.05148076,0.08433627,0.05006037
1026.426,0.5432537,0.5099297,0.1748915,0.01117654,0.06870794,0.1699091,0.01655891,0.05066599,0.08337037,0.04909372
1026.909,0.5334058,0.5078484,0.1659638,0.01120489,0.06742342,0.1633439,0.01602124,0.04988948,0.08243164,0.04816468
1027.391,0.5239405,0.5056038,0.1590781,0.01123385,0.06625912,0.1584769,0.01551402,0.04915585,0.08152512,0.04728111
1027.873,0.5148278,0.5031886,0.1540986,0.0112671,0.06522162,0.1551895,0.01504035,0.04846518,0.08065537,0.04644736
1028.355,0.5060396,0.5006039,0.1508099,0.0113073,0.06431521,0.1532993,0.01460212,0.04781437,0.07982606,0.04566399
1028.837,0.4975566,0.4978616,0.1489584,0.01135539,0.06354341,0.1525939,0.01419965,0.04719844,0.07903983,0.04493012
1029.319,0.48937,0.4949824,0.1482863,0.01140987,0.06290945,0.1528564,0.01383291,0.04661237,0.07829801,0.04424465
1029.801,0.481479,0.4919912,0.1485551,0.01146846,0.06241758,0.1538853,0.01350187,0.04605386,0.0776019,0.04360913
1030.283,0.4738867,0.4889114,0.149558,0.01152864,0.06207426,0.1555049,0.01320585,0.04552363,0.0769536,0.04302645
1030.766,0.4665956,0.4857625,0.151123,0.01158913,0.06188832,0.1575706,0.01294364,0.04502477,0.07635592,0.04249962
1031.248,0.4596023,0.4825574,0.153111,0.01164975,0.06187022,0.1599689,0.01271273,0.04456176,0.07581206,0.04202918
1031.73,0.4528982,0.4793056,0.155413,0.01171144,0.0620312,0.1626166,0.01250903,0.04413803,0.07532415,0.04161276
1032.212,0.4464674,0.4760128,0.1579456,0.01177534,0.06238197,0.1654562,0.01232817,0.04375477,0.07489279,0.04124488
1032.694,0.4402883,0.4726824,0.1606487,0.01184158,0.06293097,0.1684505,0.01216575,0.0434108,0.07451545,0.04091958
1033.176,0.4343354,0.4693155,0.1634825,0.01190887,0.0636839,0.1715761,0.01201897,0.04310272,0.07418782,0.04063284
1033.658,0.4285802,0.4659082,0.1664226,0.01197485,0.064642,0.1748166,0.01188716,0.0428258,0.07390428,0.04038331
1034.14,0.422995,0.4624511,0.1694557,0.01203657,0.06580162,0.178157,0.01177177,0.04257504,0.07365946,0.04017327
1034.622,0.4175569,0.4589317,0.172575,0.01209173,0.06715249,0.1815814,0.01167542,0.04234543,0.07344908,0.04000551
1035.104,0.4122498,0.4553339,0.1757759,0.01213926,0.0686755,0.1850723,0.01160097,0.04213168,0.07327027,0.03988133
1035.587,0.4070677,0.4516457,0.1790535,0.01217992,0.07034262,0.1886136,0.01155056,0.04192931,0.07312095,0.03979957
1036.069,0.402014,0.4478612,0.1824019,0.01221653,0.07211496,0.1921919,0.01152524,0.04173425,0.07299929,0.03975555
1036.551,0.3970969,0.4439837,0.1858133,0.01225263,0.0739451,0.1957979,0.01152523,0.04154468,0.07290307,0.03974339
1037.033,0.3923248,0.4400261,0.1892768,0.01229141,0.07577828,0.1994235,0.01154946,0.04136105,0.07282896,0.03975684
1037.515,0.3876987,0.4360099,0.1927757,0.0123349,0.07755718,0.2030584,0.01159627,0.04118716,0.07277324,0.03979155
